jurisdiction,country_code,small_jurisdiction,unique_id,lat,lon,region,income_group,population,level,year_imp,date_imp,last_update,update_detail,instrument,structure,basis_specific,basis_advalorem,products,carbonates,concentrates,energy_drinks,juice_unsweetened,juice_sweetened,milk_drinks,lcsb,water_unsweetened,exclusions,tiered,basis_tiers,bev,sug,pom,swe,threshold,rate,targeted,health_obj,earmarked,indexed,legislation,url_1
Fiji ,FJI,1,FJI,-17.44507935,164.0260164,EAP,UMIC,929766,National,1986,1986-11-01,2023-07-14,"Base extended beyond carbonated soft drinks to include all sweetened beverages (with added sugar or artificial sweetener) in 2015. Rate increased in 2016 from FJ$0.10 (around US$0.05) per liter to FJ$0.30 (around US$0.15) per liter, and in 2017 to FJ$0.35 (around US$0.17 per liter). Sweetened or flavored milk excluded in 2020. Domestic excise rate increased to FJ$0.40 per L and 15% import excise introduced. New excise duty on imported fruit juices and select food products to be introduced 1st January 2024. ",Excise,Specific,Volume,N/A,"SSB, including carbonated and noncarbonated drinks sweetened with sugar or artificial sweeteners; excl. milk-based drinks; imported fruit juices ",1,1,1,0,1,0,1,0,"Water, milk -based drinks, domestic 100% juice",0,N/A,0,0,0,0,0,Domestic: FJ$0.40/L; Imports (including unsweetened waters): 32% fiscal duty + 9% VAT + 15% import excise. Imported powders and preparations used to make beverages (other than milk-based drinks) are subject to 5% fiscal duty + 9% VAT (they are exempt from 15% import excise).,1,1,0,0,"Excise Act 1986; Excise (Budget Amendment) Act 2017, ACT NO 34 OF 2017, Excise (Budget Amendment) Act  No. 22 of 2020; Excise (Budget Amendment) Act No. 9 of 2023",
Finland,FIN,0,FIN,,,ECA,HIC,5556880,National,2001,2001-01-01,2011-01-01,N/A,Excise,Specific,Volume,N/A,"All nonalcoholic beverages, including water beverages, juices as well as various concentrates and powders intended for preparing beverages, sports drinks, energy gels, and soy and oat beverages",1,1,1,1,1,0,1,1,Unflavored milk,1,BEV,1,0,0,0,0,"€0.13 per liter on sugar-free soft drinks (ASBs) under HS2202 and unsweetened mineral waters under HS2201; €0.32 per liter on sugar-containing soft drinks under HS2202; €0.32 per liter on juices under HS 2009, €0.13 per liter on sugar-free juices under HS 2009; €2.04/kg on solid concentrates under HS2106, €1.13/kg on sugar-free solid concentrates. ",1,1,0,0,"Proclamation No. 1127/2001 to amend the Sales and Excise Tax Proclamation No. 62/1994; Excise Tax Act, 19/03/2010; Law on soft drink tax, 17/12/2010",
France (and overseas departments and regions),FRA,0,FRA,,,ECA,HIC,67935660,National,2012,2012-01-01,2018-01-01,Uniform volume-specific tax replaced with sliding scale tax based on sugar content in 2018,Excise,Specific,Volume,N/A,"Non-alcoholic beverages containing added sugar or sweeteners under HS2202 and HS 2009, including sodas, fruit drinks, flavored waters, and ‘light’ drinks ",1,0,1,0,1,0,1,0,"100% juices, milk-based drinks",1,SUGAR  ,0,1,0,0,0,"Sliding scale tax starting at €0.03 per L for beverages containing less than or equal to 1 g sugar per 100 ml, up to €0.2412 per L for beverages containing 15g sugar per L. For beverages containing >15g sugar per L, + €0.0205 per kg added sugar. Applied at €0.03 per L on non-calorically sweetened drinks, and €0.0054 per L on natural or artificial waters. ",1,1,1,0,Code general des impôts: Article 1613 (General Tax Code: Article 1613) Contribution perçue sur les boissons et préparations liquides pour boissons destinées à la consommation humaine; LOI n° 2011-1977 du 28 décembre 2011 de finances pour 2012 (1); Modifiée par LOI n° 2017-1836 du 30 décembre 2017 de financement de la sécurité sociale pour 2018,
French Polynesia ,PYF,1,PYF,-15.00858144,-145.7065242,EAP,HIC,306279,National,2004,2004-01-01,2020-01-01,"Uniform production tax of CFPF 40 per liter on domestically-produced sweetened drinks replaced with tiered volume-specific tax, with tiers defined by sugar content thresholds",Excise,Specific,Volume,N/A,All sweetened drinks ,1,1,1,0,1,1,0,0,"Plain water, plain milk, 100% juices, LCSBs",1,"SUGAR, POM",0,1,1,0,0,"All sweetened drinks, different rates apply to domestic vs. imported products. Local: 0 to 4.99g sugar/100ml: 0 CFP/L, 5 to 9.99g/100ml: 20 CFP/L, 10 to 29.99g/100ml: 30 CFP/L, 30 to 39.99g/100ml: 45 CFP/L, 40g/100ml+: 60 CFP/L. Imported: 0 to 4.99g sugar/100ml: 0 CFP/L, 5 to 9.99g/100ml: 20 CFP/L, 10 to 29.99g/100ml: 40 CFP/L, 30 to 39.99g/100ml: 60 CFP/L, 40g/100ml+: 80 CFP/L",1,1,1,0,"Taxe sur la production de boissons alcoolisées et de certains produits sucrés; Country Law n ° 2019-21 of July 1, 2019 amending the consumption tax regime for prevention",
Gabon,GAB,0,GAB,,,AFR,UMIC,2388992,National,2013,2013-01-01,N/I,N/A,Excise,Ad valorem,N/A,Ex-factory or CIF value,Sweetened drinks,1,1,1,0,1,1,1,0,"Plain unsweetened water, 100% juices",0,N/A,0,0,0,0,0,5% on sweetened drinks ,1,0,0,N/A,Code Général des Impôts (General Tax Code) 2013,
"Gambia, The",GMB,0,GMB,,,AFR,LIC,2705992,National,2010,2010-01-01,N/I,N/A,Excise,Specific,Volume,N/A,Fruit juices and other non-alcoholic beverages,1,1,1,1,1,1,1,1,None,0,N/A,0,0,0,0,0,"D5/L on soft drinks, juice, mineral water",0,0,0,0,"Customs and Excise Act, Twelfth Schedule",
Ghana,GHA,0,GHA,,,AFR,LMIC,33475870,National,2014,2014-01-01,2023-04-03,Rate increased from 17.5% to 20% in 2023,Excise,Ad valorem,N/A,Ex-factory or CIF value,"Waters, including mineral waters of all descriptions whether or not containing added sugar, or other sweetening matter or flavoured, and other non-alcoholic beverages falling under the heading 22.01 and 22.02; Fruit juices (including grape and vegetable juices, unfermented and not containing added spirits whether or not containing added sugar or other sweetening matter falling under heading 20.9",1,0,1,0,0,1,1,1,Sachet water,1,BEV,1,0,0,0,0,"20% on aerated waters containing added sugar or other sweetening matter or flavored, energy drinks and fruit juices; 17.5% on plain distilled bottled water",0,0,0,N/A,"Excise Duty Act, 2014 (act 878); Excise Duty (Amendment) Act, 2023 (Act 1093)",
Grenada,GRD,1,GRD,12.104818,-61.670761,LAC,UMIC,124610,National ,2023,2023-03-01,N/A,N/A,VAT/GST,Ad valorem,N/A,N/A,"Carbonated beverages, soft drinks, and drinks with added sugar",1,1,1,0,1,1,1,0,"Unsweetened water, unsweetened juices (these are subject to standard 15% VAT)",0,N/A,0,0,0,0,0,"20% on carbonated beverages, soft drinks, and drinks with added sugar. 100% juices and unsweetened water subject to standard 15% VAT.",1,1,0,N/A,Value Added Tax Act 23/2009; Value Added Tax (Amendment) (No. 2) Regulations SRO No. 12 of 2023,
Guatemala,GTM,0,GTM,,,LAC,UMIC,17357886,National,2002,2002-01-01,N/I,N/A,Excise,Specific,Volume,N/A,"Carbonated drinks, isotonic or sports drinks, juices and nectars, yogurts, concentrated or powdered preparations for the production of beverages and bottled natural water, ",1,1,1,1,1,1,1,1,Natural water in packages over 4L ,1,BEV,1,0,0,0,0,"GTQ$ 0.18 per liter on carbonates, and syrups and concentrates used to produce them; GTC$0.12 on isotonic or sports drinks; GTC$0.10 on juices and nectars, and yoghurt drinks; GTC$0.08 on natural water in containers up to 4L",1,1,0,0,"Decreto N 09-2002 - Ley del Impuesto Específico sobre la Distribución de Bebidas Gaseosas, Bebidas Isotónicas o Deportivas, Jugos y Néctares, Yogures, Preparaciones Concentradas o en Polvo para la elaboración de Bebidas y Agua Natural Envasada; Expendiente acumulado 404 y 492-2002",
Guinea-Bissau,GNB,0,GNB,,,AFR,LIC,2105566,National,2022,2022-01-01,N/I,N/A,Excise,Mixed,Volume,Ex-factory or CIF value,"Sparkling mineral water (HS2201); lemonades, flavored sparkling water, sugary drinks, milk and chocolate-based drinks, and unspecified soft drinks and sparkling waters under HS2202",1,1,1,0,0,1,1,1,Juices,0,N/A,0,0,0,0,0,"15% or FCFA 275 per L, whichever is higher on carbonated unsweetened water (HS2201), lemonades and other SSBs under HS2202, and milk and chocolate-based drinks",0,0,0,0,Law No. 6/2022 - Special Consumption Tax Code,
Honduras,HND,0,HND,,,LAC,LMIC,10432860,National,2020,2020-01-01,N/I,N/A,Excise,Specific,Volume,N/A,All SSB except natural juices and milk,1,1,1,0,1,1,1,0,"Natural juices, plain milk, plain water",0,N/A,0,0,0,0,0,"HNL. 0.815328 per liter on carbonates and other soft drinks, excluding 100% juices ",1,1,0,0,Decreto 17-2010 Ley de fortalecimiento de los ingresos equidad social y racionalización del gasto público; Acuerdo Número 213-2020,
Hungary ,HUN,0,HUN,,,ECA,HIC,9683505,National,2011,2011-01-01,2018-01-01,Rates increased 2018,Excise,Specific,Volume,N/A,"Soft drinks falling under HS 2009 and 2202 containing more than 8g sugar per 100ml; excl. fruit and vegetable juices and nectars with at least 25% fruit or vegetable content, and products made using at least 50% milk-based material; concentrates used to sweeten drinks. Also applies to salt and caffeine content of various categories of sugar-sweetened prepackaged, ready-to-eat foods, and salty snacks. ",1,1,1,0,0,0,0,0,"Drinks containing < 8g added sugar per 100ml, and drinks with more than 25% fruit content or more than 50% milk content",1,BEV,1,0,0,0,1,HUF 15 per liter on RTD soft drinks with > 8g sugar per 100ml; HUF 240 per liter on concentrated syrups used to sweeten drinks; HUF 50 per litre on energy drinks with methylxanthine > 1mg/100ml; HUF 300 per litre on energy drinks with methylxanthine content > 15mg/100ml; HUF 85 per kg on sugared cocoa powder,1,1,1,0,évi CIII. Törvény a népegészségügyi termékadóról [Act CIII of 2011 on Public Health Product Tax] ,
India,IND,0,IND,,,SAR,LMIC,1417173173,National,2017,2017-07-01,N/I,N/A,VAT/GST,Ad valorem,N/A,N/A,"Carbonated waters containing added sugar or other sweetening matter or flavoured falling under HS heading 2202, including carbonated SSB (HS 2202.10.10), lemonades (HS2202.10.20), and caffeinated beverages (HS 2202.99.90), and carbonated juice-based drinks",1,0,1,0,0,0,1,0,"Coconut water is exempt. 18% GST rate applies to unsweetened waters (HS 2201), 12% to non-carbonated fruit and vegetable juices and drinks, whether or not containing sweeteners (HS 2009), and soya milk drinks (2202.90.19)",1,BEV,1,0,0,0,0," 28% (highest GST rate) plus 12% compensation cess on carbonated waters containing added sugar or other sweetening matter or flavoured falling under HS heading 2202, and carbonated fruit juices",1,1,0,N/A,"Central Goods and Services Tax Act, 2017",
Ireland,IRL,0,IRL,,,ECA,HIC,5086988,National,2018,2018-05-01,2019-01-01,Base extended beyond water and juice based drinks to include certain plant protein drinks and drinks containing milk fats,Excise,Specific,Volume,N/A,"Nonalcoholic, water-based (HS 2202), and fruit-based (HS2009) drinks with added sugar content ≥5 g per 100 ml; Plant protein drinks and drinks containing milk fats (that fall under HS2202) with <119mg calcium per 100ml; Concentrates intended for preparation",1,1,1,0,1,1,0,0,"100% fruit juices, plant protein and milk-based drinks with calcium content > 119mg/l, LCSB, plain water",1,SUGAR  ,0,1,0,0,1,"16.26 €/hectolitre on products containing 5-8 g sugar per 100 ml; 24.39 €/hectolitre on products containing ≥8 g sugar per 100 ml. Applies to all nonalcoholic, water-based (HS 2202), and fruit-based (HS2009) drinks with added sugar, plant protein drinks and drinks containing milk fats (that fall under HS2202) with <119mg calcium per 100ml, and concentrates intended for SS preparation. ",1,1,0,0,"Finance Act 2017, Sugar Sweetened Drinks Tax (SSDT)",
Isle of Man,IMN,1,IMN,54.2278064,-4.5721396,ECA,HIC,84519,National,2019,2019-04-01,N/I,N/A,Excise,Specific,Volume,N/A,"Any prepackaged soft drink with added sugar containing at least 5 g of total sugars per 100 ml. Added sugar defined as mono or disaccharides, or anything (other than fruit juice, vegetable juice and milk) that contains sugar, such as honey",1,1,1,0,1,0,0,0,"Milk-based drinks with >75% milk, milk substitute drinks (e.g. plant based milks), pure fruit juices or any other drinks with no added sugar, alcohol substitute drinks, LCSB, and soft drinks of a specified description which are for use for medicinal or other specified purposes. Producers with <1 million litres/year exempt.  ",1,SUGAR  ,0,1,0,0,1, ₤0.18 per liter (US$0.25) on drinks with 5–8 g total sugar per 100 ml; ₤0.24 per liter (US$0.34) on drinks with >8 g total sugar per 100 ml. Applies to soft drinks with added sugar containing at least 5g of total sugars per 100 ml.,1,1,0,0,"Finance Act 2017, Soft Drinks Industry Levy Regulations 2018",
Kenya,KEN,0,KEN,,,AFR,LMIC,54027487,National,2015,2015-12-01,N/I,N/A,Excise,Specific,Volume,N/A,All soft drinks,1,1,1,1,1,1,1,1,None,0,N/A,0,0,0,0,0,10 shillings per litre on all soft drinks (with or without sugar and sweeteners),0,0,0,0,Act No 23 of 2015 - Excise Duty ,
Kiribati,KIR,1,KIR,-3.370417,-168.734039,EAP,LMIC,131232,National,2014,2014-04-01,N/I,N/A,Excise,Ad valorem,N/A,Ex-factory or CIF value,"Nonalcoholic beverages, including mineral and aerated waters that contain added sugar, other sweeteners, or flavorings (under HS sub-heading 2202 only)",1,0,1,0,0,0,1,0,Fruit and vegetable juices as well as fruit concentrates,0,N/A,0,0,0,0,0,40% on SSB containing added sugar or other sweeteners under HS heading 2202,1,1,0,N/A,"Excise Tax Act, 2013; Excise Tax Rates Order 2014",
"Kosrae, Federated States of Micronesia",FSM,1,FSM1,5.304292668,162.975009,EAP,LMIC,N/A,State/Province,1985,1985-08-08,N/I,N/A,Excise,Specific,Volume,N/A,Soda' ('non-alcoholic carbonated soft drinks'),1,`,1,0,0,0,1,0,Non-carbonated drinks,0,N/A,0,0,0,0,0,$0.02 per 12 fl. oz plus $0.01 per each additional oz. on carbonated soft drinks,1,0,0,0,"Kosrae State Code 1985, rev. 1997 (Title 9, Ch 2)",
Lao PDR,LAO,0,LAO,,,EAP,LMIC,7529475,National,2005,2005-05-23,2012-01-01,"Rate lowered in 2012 from 30% to 10% on energy drinks, and from 20% to 5% on other categories",Excise,Ad valorem,N/A,Ex-factory or CIF value,"Carbonated drinks, soda, mineral water, fruit juice and other non-alcoholic beverages, energy drinks",1,1,1,1,1,1,1,1,None,1,BEV,1,0,0,0,0,"5% on carbonated drinks, soda, mineral water, fruit juice and other non-alcoholic beverages, 10% on 'stimulant' drinks",0,0,0,N/A,Amended Tax Law 2012,
Latvia,LVA,0,LVA,,,ECA,HIC,1883379,National,2000,2004-05-01,2022-01-01,Tiered tax based on sugar content replaced uniform tax in January 2022,Excise,Specific,Volume,N/A,"Drinks with added sugar, sweetener, or other flavoring",1,1,1,0,1,1,1,0,"Fruit/vegetable juices with <10% added sugar and flavored/functional waters without added sugars, sweeteners, or flavorings",1,SUGAR  ,0,1,0,0,0,"€0.074 per L if total sugar content < 8 g per 100ml, €0.14 per L if total sugar content >8g per 100ml. Applies to non-alcoholic beverages with added sugar, sweetener, or other flavoring, excluding juices with <10% added sugar",1,1,0,0,"Law on Excise Duties (adopted 30 October 2003); Amendments to the 'Law on Excise Tax', 21 Oct 2020",
Liberia,LBR,0,LBR,,,AFR,LIC,5302681,National,2011,2011-01-01,2020-01-01,Specific tax replaced ad valorem tax in January 2020,Excise,Specific,Volume,N/A,"HS2202, HS2201 and 2009 (imported only)",1,0,1,1,1,1,1,1,Unsweetened domestially-produced water (HS 2201),1,"BEV, POM",1,0,1,0,0,US$0.45 per liter on imported fruit juices (whether or not containing added sweeteners) (HS 2009) (US$0.05 per liter on domestic equivalents) and waters not containing added sweeteners (HS 2201) (NIL on domestic equivalents); US$0.30 per liter on waters and other non-alcoholic beverages containing added sugar or other sweeteners or flavored (US$0.02 per liter on domestic equivalents); ,0,0,0,0,"Revenue Code of Liberia 2000, Consolidated Tax Amendment Act of 2011,Liberia Revenue Code As Amended 2020",
Madagascar,MDG,0,MDG,,,AFR,LIC,29611714,National,2016,2016-01-01,2022-01-01,Tiered ad valorem tax replaced uniform volume-specific tax (AR 25/L) in 2022,Excise,Mixed,Volume,Ex-factory or CIF value,"Fruit and vegetable juices and drinks (HS2009), all SSB under HS2202, carbonated unsweetened waters (HS2201.10)",1,0,1,1,1,1,1,1,Non-carbonated unsweetened water,1,"BEV, POM",1,0,1,0,0,"Local: 2.5% (without being less than AR 50/L) on fruit and vegetable juices, whether sweetened or not (HS2009), carbonated unsweetened waters (HS 2201.10) and all SSB under HS2202; 2.5% (without being less than AR 10,000/kg) on solid or powdered concentrates for the preparation of beverages; 2.5% (without being less than AR 50/L) on syrups for the preparation of beverages;. Imports: 10% (without being less than AR 200/L) on fruit and vegetable juices, whether sweetened or not (HS2009), carbonated unsweetened waters (HS 2201.10), and all SSB under HS2202; 10% (without being less than AR 40,000/kg) on solid or powdered concentrates for the preparation of beverages; 10% (without being less than AR 200/L) on syrups for the preparation of beverages, ",0,0,0,N/A,Loi n° 2015 - 050 du 29 décembre 2015 Portant Loi de Finances pour 2016; Loi  n° 2021 - 027 Portant loi de Finances pour 2022,
Malaysia ,MYS,0,MYS,,,EAP,UMIC,33938221,National,2019,2019-07-01,2023-01-01,"Expanded 1st Jan 2023 to include pre-mix preparations under tariff headings 18.06, 19.01, 21.01 and 21.06 with total sugar content > 33.3g per 100g, including chocolate-, soy-, malt-, tea-, coffee-, and ginseng- based premixes",Excise,Specific,Volume,N/A,"Carbonated, flavored, and other nonalcoholic drinks, including milk-based drinks, fruit and vegetable juices, and pre-mixed preparations under tariff codes 18.06, 19.01, 21.01 and 21.06, including chocolate-, soy-, malt-, tea-, coffee-, and ginseng- based premixes",1,1,1,1,1,1,0,0,Unsweetened water,1,BEV,1,0,0,0,1,"MYR 0.40 per liter on soft drinks classified under HS 2202 (excl. 22.02.99.10) with >5 g sugar per 100 ml, milk-based drinks (under HS 2202) with >7 g sugar per 100ml, and fruit or vegetable juices classified under HS 2009 with >12 g sugar per 100 ml. MYR 0.47 per 100g on pre-mixed preparations with sugar content >33.3g/100g. ",1,1,0,0,Excise Duties Order 2017; Excise Duties (Amendment) Order 2019; Excise Duties Order 2022,
Maldives,MDV,1,MDV,2.533335255,73.36710646,SAR,UMIC,523787,National,2017,2017-03-01,2020-01-01,Rates increased in 2020,Import,Mixed,Volume,Import value ,"Energy drinks and all other SSB under HS 2202.10 and 2202.99, and unsweetened waters under HS 2201",1,0,1,0,0,0,1,1,100% juices and juice-based drinks; Milk-based drinks; RTD sweetened teas and coffees; Concentrates and syrups intended for the preparation of soft drinks (HS 2106.90),1,BEV,1,0,0,0,0,"60.55 MVR/L on energy drinks, 8 MVR/litre on other soft drinks under HS 2201.10; 15% on SSB under HS 2202.99 and on unsweetened waters (carbonated and non-carbonated) under HS 2201",1,1,0,0,"Export-Import Act (31/79); 18th Amendment to Import Export Act 7/2020; National Tariff, Revised on 24.05.22",
Mali,MLI,0,MLI,,,AFR,LIC,22593590,National,2005,2005-01-27,N/I,N/A,Excise,Ad valorem,N/A,Ex-factory or CIF value,"Carbonated waters, flavored or containing added sugar or other sweetening matter  (HS 2202.10.00), juices (HS 2009), syrups and concentrates (HS 2106)",1,1,1,1,1,0,1,0,"Plain water, milk-based drinks",1,BEV,1,0,0,0,0,"10% on carbonated sweetened waters (HS2202.10.00), 12% on juices (HS2009) and concentrates (HS2106)",1,0,0,N/A,Décret n°05-036/P-RM; Décret n°2015-0548/P-RM fixant les taux en matière d’Impôt spécial sur certains produits,
Marshall Islands,MHL,1,MHL,6.55254652,171.4271937,EAP,UMIC,41569,National,1989,1989-01-01,2016-01-01,Rates increased 2016,Import,Mixed,Volume,Import value ,"SSB, including sweetened juices, concentrates, and LCSB",1,1,1,0,1,0,1,0,"100% juices, unsweetened water",1,BEV,1,0,0,0,0,"US$0.020826/oz on carbonated SSB under HS 2202, 30% on non-carbonated SSB, including sweetened juices, and on ASB",1,1,1,0,Import Duties Act 1989; Import Duties (Funding Supplement Amendment) Act 2016,
Mauritania,MRT,0,MRT,,,AFR,LMIC,4736139,National,2014,2014-01-01,2016-01-01,Rates increased in 2016,Excise,Ad valorem,N/A,Ex-factory or CIF value,"Imported mineral waters, sweetened dairy and yoghurt products",0,0,0,0,0,1,0,1,"SSB under HS 2202, 2009, 2106",1,BEV,1,0,0,0,0,"80% on mineral waters (HS 2201), 60% on yoghurt and other sweetened dairy products of HS 0403.90",0,0,0,N/A,Loi de Finances Initiale. Budget de l'Etat pour l'année 2016,
Mauritius,MUS,1,MUS,-20.1508549,57.87494481,AFR,UMIC,1262523,National,2013,2013-01-01,2022-07-01,Extended on 1st Oct 2016 to cover all SSB. Minimum sugar content threshold of 4g per 100ml introduced in July 2022,Excise,Specific,Sugar,N/A,"All SSB, imported or locally produced, including juices, milk-based beverages, and soft drinks",1,1,1,1,1,1,0,0,"Plain water, LCSB",0,N/A,0,0,0,0,1,MUR 0.06 per gram sugar on all SSB with total sugar content >4 grams per 100ml,1,1,0,0,"The Finance Act 2013, Excise Act amended ",
Mexico ,MEX,0,MEX,,,LAC,UMIC,127504125,National,2014,2014-01-01,N/I,N/A,Excise,Mixed,Volume,Ex-factory or CIF value,Non-alcoholic beverages with added sugar.  An ad valorem excise duty of 8% also applies to food with high calorie density ≥275 kcals per 100 g. ,1,1,1,0,1,0,0,0,"Milks and yoghurt drinks (where milk is primary/first ingredient), diet drinks, 100% fruit and vegetable juices, plain water",1,BEV,1,0,0,0,0,"MXN 1.3996 per liter on all SSB except energy drinks and concentrates used to prepare them; additional 25% on energy drinks and concentrates, powders and syrups used to prepare them. Specific rate updated annually.",1,1,1,1,"Ley del Impuesto Especial Sobre Producción y Servicios de 30 diciembre de 1980, DOF 11-12-2013, DOF 12-11-2021",
Monaco,MCO,1,MCO,43.7378811,7.4083429,ECA,HIC,36469,National,2012,2012-01-01,2018-05-14,Rates increased in 2018,Excise,Specific,Volume,N/A,"Non-alcoholic beverages that fall under codes 2009 and 2202 of the customs tariff, including beverages containing synthetic sweeteners or added sugars, and sparkling and still waters and beverages",1,1,1,0,1,0,1,0,"100% juices,plain water",1,SUGAR  ,0,1,0,0,0,"Starting at €3.0 per hl on beverages containing less than or equal to 1kg added sugars per hl, up to €24.34 per hl on beverages containing 15kg added sugars per hl plus €2.07 per hl for each additional kg; €3.11 per hl on beverages containing synthetic sweeteners. Applies to non-alcoholic beverages under HS headings 2009 and 2202, excluding 100% juices",1,1,0,0,Ordonnance Souveraine n° 6.932 du 14 mai 2018 modifiant l'Ordonnance Souveraine n° 3.653 du 30 janvier 2012; Arrêté Ministériel No. 2018 64 du 30 janvier 2018 fixant les tarids des droits d'accises,
Montenegro,MNE,0,MNE,,,ECA,UMIC,616159,National,2001,2001-01--01,N/I,N/A,Excise,Specific,Volume,N/A,"Carbonated water with added sugar or other sweeteners or aromatisation agents, referred to in Tariff Code CN 2202 10 00",1,0,1,0,0,0,1,0,"All non-carbonated non-alcoholic beverages, and unsweetened plain water ",0,N/A,0,0,0,0,0,€10 per hl on carbonated soft drinks with added sugar or other sweeteners under HS heading 2202.10.00,1,0,0,0,"Law on Excise Taxes 01-3868/2; Official Gazette of the Republic of Montenegro, No. 65/01, 12/02, 76/05; Official Gazette of Montenegro, No. 76/08 of 12 December 2008, 50/09 of 31 July 2009, 78/10 of 29 December 2010, 40/11 of 8 August 2011, 61/11 of 23 December 2011, 28/12 of 5 June 2012, 38/13 of 2 August 2013, 45/14 of 24 October 2014, 08/15 of 27 February 2015, 01/2017 of 9 January 2017",
Morocco,MAR,0,MAR,,,MENA,LMIC,37457971,National,2019,2019-12-01,N/I,N/A,Excise,Specific,Volume,N/A,"Lemonades, carbonated or non-carbonated water, mineral water, table water or others,flavored or unflavored",1,1,1,0,0,0,0,1,"Juices, milk-based drinks  ",1,"BEV, SUGAR",1,1,0,0,0,"Carbonated or non-carbonated water, mineral water, table water or other, flavored by addition of  <10% edible fruit juice or its equivalent in concentrated juice, and on lemonades prepared with <6% lemon juice or its equivalent in concentrated juices: MAD 30 per hl on beverages containing 5g/100ml or less of added sugar, MAD 40 per hl on beverages containing between 5g/100ml and 10g per 100ml, and MAD 45 per hl on beverages containing 10g per 100ml or more of added sugar; Carbonated or non-carbonated water, mineral water, table or other waters, flavored by adding 10% or more of edible fruit juice or its equivalent in concentrated juice, and on lemonades prepared with 6% or more of lemon juice or its equivalent in concentrated juice - MAD 10 per hl on beverages containing 5g/100ml or less of added sugar, MAD 12.5 per hl on beverages containing between 5g/100ml and 10g per 100ml, and MAD 15 per hl on beverages containing 10g per 100ml or more of added sugar; MAD 600 per hl on energy drinks with a caffeine content of more than 14.5 mg/100 ml and less than 32 mg/100 ml, with the addition of other stimulating substances such as taurine, glucoronolactone, guarana, ginseng, or any other plant extract, where appropriate)",1,1,0,0,Loi de finances No. 70-19 pour l’année budgétaire 2020.,
Mozambique,MOZ,0,MOZ,,,AFR,LIC,32969518,National,2017,2017-12-28,N/I,N/A,Excise,Specific,Volume,N/A,Sweetened waters under HS2202,1,0,1,0,0,0,1,0,"Unsweetened waters, jucies ",0,N/A,0,0,0,0,0,1 Mt/L on waters containing added sugar or other sweetener under HS heading 2202,1,0,0,0,Lei nº 17-2017 de 28 de Dezembro aprova o Código do Imposto sobre Consumos Especifícos [Law nº 17-2017 of 28 December approves the Tax Code on Specific Consumptions],
Nauru ,NRU,1,NRU,-0.528140948,166.93401,EAP,HIC,12668,National,2007,2007-01-01,N/I,N/A,Import,Ad valorem,N/A,Import value ,"All forms of carbonated and non-carbonated soft drinks containing added sugar, and fruit drinks containing added sugar (but not sugar free or zero sugar soft drinks), all forms of milk and dairy products containing added sugar (but not soy milk or natural milk aud dairy products)",1,1,1,0,1,1,0,0,"Water (carbonated or not), soy milk, unflavoured milk (full cream and light) and drinks sweetened other than with sugar. ",0,N/A,0,0,0,0,0,"30% on soft drinks containing added sugar, including sweetened juice and milk-based drinks, excluding LCSB",1,1,0,0,Customs Tariff Act 1997-2006; Customs Tariff (Amendment) Act 2007; Customs (Rates of Duty) Act 2010; Customs Tariff Schedule 2014,
"Navajo Nation, USA",USA,1,USA8,36.31352286,-109.9617588,NAR,HIC,N/A,State/Province,2015,2015-01-01,2020-12-31,"Extended beyond Dec 2020 and re-authorised as a permanent law.Replaced ""Minimal-to-no-nutritional value food"" with ""Unhealthy food and beverages"". Rate kept at 2%",Sales,Ad valorem,N/A,Retail sale price,"""Unhealthy food and beverages"", including non-alcoholic sweetened beverages, whether sweetened with caloric or non-caloric sweeteners, carbonated or non-carbonated, as well as candy, chips, sweetened baked goods, frozen desserts.",1,1,1,0,1,1,1,0,"Plain milk, yoghurt-based drink, flavored and unflavored water without sweetener, non-dairy milk alternatives",0,N/A,0,0,0,0,0,2% on all SSB and LCSB,1,1,1,N//A,"Healthy Diné Nation Act 2014, as amended through CD-96-20",
Nepal,NPL,0,NPL,,,SAR,LMIC,30547580,National,2002,2002-01-30,2022-01-01,"Rate increased on energy drinks in 2022, from Rs. 36/L to Rs. 50/L",Excise,Specific,Volume,N/A,"SSB under HS 2009, 2202, 1806, 2106",1,1,1,1,1,1,1,0,Plain water ,1,BEV,1,0,0,0,0,"Rs.11/L on fruit and vegetable juices, whether or not containing added sugar or other sweetening matter (HS 2009); Rs. 50/L on energy drinks (HS 2202.99.10); Rs. 14/L on other SSB under HS 2202.99.90; Rs. 20/L on non-alcoholic beer (2202.91.00). ",1,0,0,0,"Excise Duty Act, 2002 as amended by Financial Act, 2021 (2078) and Financial Act, 2022",
"Netherlands, The Kingdom of the",NLD,0,NLD,,,ECA,HIC,17703090,National,1992,1992-12-24,2023-01-01,"Rate increased from €8.83 to €20.20 on 1st Jan 2023. Rate set to increase to €26.13 per hectolitre from 1st January 2024, mineral water to be excluded ",Excise,Specific,Volume,N/A,"Consumption tax on non-alcoholic beverages, including fruit and vegetable juices, mineral water, lemonade, syrups, iced teas, whey drinks, non-alcoholic liquors ",1,1,1,1,1,0,1,1,Milk-based drinks,0,N/A,0,0,0,0,0,"0.09 Euro per L on all non-alcoholic beverages, including SSBs and plain waters",0,0,0,0,Wet op de verbruiksbelasting van alcoholvrije dranken (1992),
